00003,00064,4
00016,00068,1
00013,00089,5
00010,00062,5
00001,00096,10
00008,00059,4
00007,00043,6
00010,00010,9
00002,00022,9
00001,00091,10
00020,00047,6
00006,00040,4
00003,00015,2
00015,00023,4
00017,00079,9
00003,00038,9
00011,00006,8
00011,00008,2
00012,00097,3
00004,00067,10
00006,00093,1
00018,00046,4
00015,00098,2
00018,00061,1
00020,00035,5
00005,00020,5
00004,00091,6
00004,00005,4
00009,00059,1
00016,00003,6
00007,00070,9
00010,00024,8
00003,00061,6
00014,00064,7
00007,00020,1
00009,00029,8
00020,00082,3
00018,00073,4
00015,00013,1
00017,00097,5
00005,00007,9
00005,00015,9
00005,00023,4
00015,00046,2
00009,00084,6
00007,00005,8
00017,00022,5
00011,00036,10
00015,00026,5
00016,00071,3
00005,00070,6
00013,00040,6
00014,00056,8
00005,00078,8
00011,00029,9
00004,00050,6
00001,00002,3
00004,00013,2
00013,00073,6
00015,00010,10
00014,00026,2
00007,00027,6
00007,00011,9
00010,00073,5
00007,00024,7
00015,00003,9
00012,00071,8
00001,00018,1
00019,00030,9
00018,00085,4
00013,00087,5
00011,00034,1
00020,00087,7
00009,00031,5
00019,00090,2
00001,00026,8
00018,00036,3
00013,00033,9
00001,00071,10
00017,00086,1
00010,00035,8
00003,00027,9
00004,00086,3
00014,00081,1
00019,00040,6
00020,00059,5
00015,00022,7
00006,00072,7
00014,00095,4
00006,00049,7
00014,00042,6
00009,00097,4
00017,00048,1
00001,00069,2
00008,00074,9
00010,00007,4
00015,00055,3
00017,00020,3
00004,00066,4
00009,00093,8
00007,00003,8
00005,00095,3
00015,00060,4
00012,00076,9
00009,00078,7
00010,00061,1
00018,00021,6
00019,00029,1
00003,00008,7
00002,00069,5
00001,00036,7
00007,00033,1
00014,00083,10
00014,00084,2
00001,00033,6
00010,00050,2
00019,00091,4
00008,00079,3
00019,00031,5
00016,00052,7
00015,00094,7
00012,00018,6
00016,00070,2
00010,00075,6
00004,00094,10
00014,00067,7
00016,00054,8
00012,00043,6
00009,00024,6
00007,00095,3
00009,00096,4
00012,00036,1
00003,00040,4
00020,00016,4
00019,00075,6
00019,00006,3
00013,00072,3
00006,00067,3
00012,00034,6
00004,00087,4
00014,00003,8
00003,00097,3
00019,00022,8
00010,00054,9
00012,00039,8
00015,00076,9
00019,00066,2
00017,00085,10
00003,00039,4
00019,00039,3
00019,00059,9
00014,00065,3
00008,00010,2
00008,00031,7
00009,00041,10
00010,00083,9
00010,00033,9
00015,00012,10
00014,00074,2
00013,00006,1
00001,00072,2
00004,00057,3
00015,00059,9
00019,00033,7
00017,00023,8
00020,00100,5
00008,00072,1
00020,00062,7
00009,00077,9
00019,00038,7
00006,00051,10
00002,00033,10
00014,00072,7
00007,00071,5
00017,00032,1
00009,00067,10
00019,00068,9
00005,00026,5
00014,00098,4
00010,00045,2
00004,00023,5
00017,00062,1
00012,00025,3
00017,00002,6
00008,00020,10
00010,00016,3
00010,00020,3
00011,00035,10
00002,00072,5
00010,00046,6
00009,00012,3
00020,00066,3
00009,00075,4
00012,00084,4
00003,00051,10
00006,00030,1
00007,00009,4
00016,00084,2
00005,00029,4
00011,00076,7
00013,00022,7
00002,00086,1
00016,00019,6
00011,00082,10
00011,00004,5
00001,00037,8
00019,00013,6
00003,00049,6
00016,00029,2
00015,00001,10
00017,00049,9
00004,00016,1
00003,00078,6
00003,00079,2
00017,00092,6
00012,00065,2
00007,00098,10
00006,00058,3
00018,00081,10
00015,00074,5
00016,00062,7
00008,00075,3
00001,00019,1
00018,00057,7
00018,00091,9
00010,00002,8
00015,00099,6
00003,00025,6
00020,00021,6
00016,00057,2
00013,00013,1
00008,00063,2
00001,00074,4
00014,00024,2
00017,00030,8
00014,00010,1
00015,00054,5
00011,00043,6
00001,00040,9
00013,00051,3
00007,00063,3
00003,00009,1
00016,00001,5
00002,00047,10
00008,00056,6
00017,00082,2
00010,00004,5
00006,00019,1
00019,00073,6
00019,00056,4
00017,00059,8
00013,00028,1
00010,00066,5
00009,00073,1
00010,00080,2
00010,00030,8
00014,00035,3
00008,00078,9
00017,00069,4
00004,00029,2
00020,00030,7
00017,00087,1
00017,00035,8
00013,00007,10
00008,00004,1
00012,00047,1
00015,00069,4
00007,00083,1
00001,00097,10
00013,00094,1
00004,00076,1
00003,00032,2
00015,00040,2
00007,00082,2
00015,00066,3
00011,00009,8
00002,00078,10
00015,00070,6
00018,00097,2
00015,00016,7
00014,00029,7
00006,00021,7
00010,00076,5
00006,00004,4
00007,00053,4
00005,00094,9
00006,00045,9
00009,00070,10
00019,00035,4
00016,00017,8
00012,00100,10
00016,00045,5
00014,00006,3
00017,00080,8
00007,00035,5
00012,00096,1
00012,00056,3
00008,00030,4
00001,00068,6
00013,00096,5
00011,00055,4
00014,00088,1
00001,00100,4
00008,00094,5
00001,00067,9
00009,00019,8
00001,00066,8
00005,00012,1
00020,00018,5
00002,00037,8
00018,00009,2
00019,00061,7
00020,00048,5
00016,00010,8
00011,00067,10
00003,00011,9
00018,00044,8
00009,00009,5
00006,00079,7
00003,00080,2
00006,00032,2
00009,00046,3
00013,00030,3
00019,00042,4
00004,00025,1
00017,00078,8
00005,00092,7
00016,00028,9
00010,00009,3
00002,00093,4
00018,00002,4
00006,00091,7
00001,00063,8
00006,00008,3
00015,00002,4
00015,00004,1
00014,00049,10
00018,00038,9
00018,00072,8
00014,00034,10
00011,00023,1
00005,00063,7
00013,00024,3
00020,00054,3
00016,00053,4
00016,00072,10
00009,00025,3
00018,00077,6
00016,00073,5
00010,00065,1
00006,00027,5
00015,00067,1
00008,00095,3
00008,00011,3
00008,00041,6
00010,00085,2
00004,00098,7
00014,00058,1
00015,00035,1
00013,00095,10
00014,00089,8
00012,00083,7
00014,00021,2
00002,00006,5
00006,00094,7
00010,00095,7
00011,00014,7
00003,00090,6
00007,00068,6
00009,00001,2
00015,00028,9
00018,00054,4
00010,00015,6
00011,00066,9
00011,00049,8
00020,00027,9
00007,00054,8
00018,00043,2
00001,00077,1
00019,00032,5
00008,00033,7
00015,00024,8
00001,00094,4
00003,00058,8
00008,00091,10
00016,00060,10
00008,00016,3
00013,00078,1
00005,00079,7
00019,00069,10
00015,00085,3
00004,00099,5
00005,00040,8
00011,00032,6
00001,00009,7
00002,00063,1
00017,00061,6
00005,00067,9
00007,00001,9
00005,00053,5
00011,00026,1
00015,00039,8
00019,00003,5
00010,00026,7
00003,00021,8
00002,00045,9
00013,00085,7
00004,00027,4
00012,00092,4
00002,00088,9
00014,00092,9
00019,00007,6
00009,00062,3
00007,00069,10
00008,00088,6
00018,00010,3
00018,00014,8
00003,00036,5
00003,00072,3
00005,00089,5
00015,00021,1
00001,00078,7
00008,00027,8
00014,00013,2
00010,00067,9
00008,00012,10
00020,00067,2
00003,00062,10
00012,00029,2
00012,00007,3
00016,00064,3
00015,00041,8
00008,00066,6
00008,00052,7
00020,00006,7
00008,00021,7
00015,00038,6
00014,00045,4
00008,00058,8
00009,00090,7
00016,00016,2
00006,00005,2
00020,00024,8
00005,00088,10
00002,00026,8
00009,00047,7
